year,country,state,county_name,acre_planted,acre_planted_cv,acre_harvested,acres_loss,yield_lb_per_acres,total_yield,production_cwt
1972,UNITED STATES,ARKANSAS,OTHER (COMBINED) COUNTIES,470,0,470,0,4810,2260700,22600
1972,UNITED STATES,ARKANSAS,LEE,8420,0,8420,0,4500,37890000,378900
1972,UNITED STATES,ARKANSAS,MILLER,760,0,750,10,3600,2736000,27000
1972,UNITED STATES,ARKANSAS,MONROE,14820,0,14820,0,4750,70395000,704000
1972,UNITED STATES,ARKANSAS,CLAY,8040,0,7950,90,4975,39999000,395500
1972,UNITED STATES,ARKANSAS,CRITTENDEN,6850,0,6840,10,3800,26030000,259900
1972,UNITED STATES,ARKANSAS,PULASKI,2460,0,2430,30,5335,13124100,129600
1972,UNITED STATES,ARKANSAS,LITTLE RIVER,420,0,410,10,3805,1598100,15600
1972,UNITED STATES,ARKANSAS,INDEPENDENCE,880,0,880,0,4770,4197600,42000
1972,UNITED STATES,ARKANSAS,JEFFERSON,17880,0,17840,40,4800,85824000,856300
1972,UNITED STATES,ARKANSAS,POINSETT,39080,0,39000,80,5300,207124000,2067000
1972,UNITED STATES,ARKANSAS,OTHER (COMBINED) COUNTIES,640,0,470,170,4810,3078400,22600
1972,UNITED STATES,ARKANSAS,CRAIGHEAD,17590,0,17550,40,5150,90588500,903800
1972,UNITED STATES,ARKANSAS,PERRY,1000,0,980,20,3795,3795000,37200
1972,UNITED STATES,ARKANSAS,PHILLIPS,5150,0,5150,0,3900,20085000,200900
1972,UNITED STATES,ARKANSAS,LAWRENCE,8420,0,8320,100,5350,45047000,445100
1972,UNITED STATES,ARKANSAS,CHICOT,9820,0,9810,10,4800,47136000,470900
1972,UNITED STATES,ARKANSAS,LONOKE,39560,0,39400,160,5150,203734000,2029100
1972,UNITED STATES,ARKANSAS,JACKSON,20760,0,20730,30,4600,95496000,953600
1972,UNITED STATES,ARKANSAS,HOT SPRING,470,0,470,0,4595,2159650,21600
1972,UNITED STATES,ARKANSAS,ASHLEY,6730,0,6710,20,4725,31799250,317000
1972,UNITED STATES,ARKANSAS,WOODRUFF,20350,0,20340,10,5025,102258750,1022100
1972,UNITED STATES,ARKANSAS,LAFAYETTE,880,0,870,10,4805,4228400,41800
1972,UNITED STATES,ARKANSAS,MISSISSIPPI,1500,0,1480,20,4300,6450000,63600
1972,UNITED STATES,ARKANSAS,PRAIRIE,40420,0,40400,20,5356,216489520,2161400
1972,UNITED STATES,ARKANSAS,SAINT FRANCIS,18680,0,18610,70,4350,81258000,809500
1972,UNITED STATES,ARKANSAS,DREW,4540,0,4530,10,5000,22700000,226500
1972,UNITED STATES,ARKANSAS,WHITE,1200,0,1200,0,4750,5700000,57000
1972,UNITED STATES,ARKANSAS,CROSS,36130,0,36070,60,5050,182456500,1821500
1972,UNITED STATES,ARKANSAS,GREENE,5370,0,5360,10,4600,24702000,246600
1972,UNITED STATES,ARKANSAS,DESHA,14060,0,14050,10,4650,65379000,653300
1972,UNITED STATES,ARKANSAS,RANDOLPH,2360,0,2330,30,4400,10384000,102500
1972,UNITED STATES,ARKANSAS,ARKANSAS,77220,0,77150,70,5160,398455200,3980900
1972,UNITED STATES,ARKANSAS,LINCOLN,9070,0,9060,10,4925,44669750,446200
1973,UNITED STATES,ARKANSAS,LONOKE,47800,0,47700,100,4840,231352000,2308700
1973,UNITED STATES,ARKANSAS,PHILLIPS,6140,0,6140,0,4241,26039740,260400
1973,UNITED STATES,ARKANSAS,OTHER (COMBINED) COUNTIES,540,0,540,0,3000,1620000,16200
1973,UNITED STATES,ARKANSAS,MISSISSIPPI,1790,0,1790,0,4352,7790080,77900
1973,UNITED STATES,ARKANSAS,WOODRUFF,24570,0,24550,20,4370,107370900,1072800
1973,UNITED STATES,ARKANSAS,CLAY,9600,0,9540,60,4510,43296000,430300
1973,UNITED STATES,ARKANSAS,CROSS,43600,0,43580,20,4820,210152000,2100600
1973,UNITED STATES,ARKANSAS,ASHLEY,8120,0,8120,0,4280,34753600,347500
1973,UNITED STATES,ARKANSAS,LEE,9940,0,9900,40,4330,43040200,428700
1973,UNITED STATES,ARKANSAS,MILLER,870,0,850,20,3424,2978880,29100
1973,UNITED STATES,ARKANSAS,GREENE,6290,0,6290,0,4261,26801690,268000
1973,UNITED STATES,ARKANSAS,DESHA,17100,0,17080,20,4450,76095000,760100
1973,UNITED STATES,ARKANSAS,WHITE,1450,0,1450,0,4807,6970150,69700
1973,UNITED STATES,ARKANSAS,OTHER (COMBINED) COUNTIES,750,0,540,210,3000,2250000,16200
1973,UNITED STATES,ARKANSAS,ARKANSAS,93400,0,93350,50,5080,474472000,4742200
1973,UNITED STATES,ARKANSAS,SAINT FRANCIS,22350,0,22280,70,4360,97446000,971400
1973,UNITED STATES,ARKANSAS,RANDOLPH,2520,0,2520,0,3901,9830520,98300
1973,UNITED STATES,ARKANSAS,JACKSON,25000,0,24990,10,4470,111750000,1117100
1973,UNITED STATES,ARKANSAS,PRAIRIE,49100,0,49000,100,5050,247955000,2474500
1973,UNITED STATES,ARKANSAS,HOT SPRING,580,0,580,0,4190,2430200,24300
1973,UNITED STATES,ARKANSAS,INDEPENDENCE,1050,0,1050,0,4476,4699800,47000
